date,Open,High,Low,Close,Adj Close,Volume
8/13/2020,133.990005,134.940002,133.610001,134.809998,133.59462,2324800
8/14/2020,135.919998,137,135.220001,136.529999,135.299118,3180900
8/17/2020,137.979996,138.690002,137.399994,138.240005,136.993713,4632300
8/18/2020,137.009995,137.970001,134.669998,136.899994,136.336411,5756800
8/19/2020,148.5,154.690002,146.539993,154.220001,153.585129,40211800
8/20/2020,154.929993,156.100006,151.720001,152.240005,151.613281,12046000
8/21/2020,152.330002,155.610001,152.130005,153.630005,152.997559,7061400
8/24/2020,154.5,154.619995,152.630005,153.240005,152.609161,4355300
8/25/2020,154.149994,154.279999,152.360001,152.850006,152.220764,2984400
8/26/2020,152.75,153.570007,152.089996,152.710007,152.081345,3061600
8/27/2020,152.660004,152.75,149.669998,150.309998,149.691208,3773100
8/28/2020,150.309998,151.669998,149.600006,150.850006,150.229004,2835600
8/31/2020,151.139999,151.910004,150.320007,151.210007,150.587524,3025600
9/1/2020,150.610001,151.770004,150.119995,150.550003,149.930237,3604100
9/2/2020,150.5,150.869995,148.419998,149.839996,149.223145,4128200
9/3/2020,149.470001,149.979996,145.410004,146.029999,145.428833,4135300
9/4/2020,146.690002,148.550003,143.690002,147.229996,146.623886,4742100
9/8/2020,146.679993,146.789993,143.380005,144,143.407196,3503200
9/9/2020,144.759995,148.600006,144.759995,147.550003,146.942581,3279300
9/10/2020,147.600006,148.339996,145.309998,146.039993,145.438782,2828100
9/11/2020,146.860001,147.960007,146.179993,147.649994,147.04216,2356400
9/14/2020,148.550003,150.389999,147.839996,148.440002,147.828918,2706900
9/15/2020,148.110001,149.839996,147.360001,149.070007,148.456329,2206200
9/16/2020,149.339996,149.729996,147.910004,147.990005,147.380768,2072500
9/17/2020,147.389999,148.770004,146.550003,147.610001,147.002335,2391200
9/18/2020,147.720001,149.520004,147.259995,148.820007,148.207352,3614800
9/21/2020,148.690002,149.990005,146.449997,149.860001,149.243073,3360000
9/22/2020,151.149994,154.440002,150.929993,154.080002,153.445694,4334500
9/23/2020,153.880005,155.199997,150.369995,151.009995,150.388336,2801300
9/24/2020,151.619995,153.559998,150.100006,152,151.374252,3223100
9/25/2020,151.860001,155.160004,151.75,154.350006,153.714584,2743300
9/28/2020,154.949997,157.710007,154.649994,156.460007,155.815903,3627600
9/29/2020,156.75,158.429993,155.869995,156.940002,156.29393,2784200
9/30/2020,157.449997,159.149994,156.5,157.419998,156.771942,2806000
10/1/2020,158.410004,160.889999,158.100006,158.600006,157.947098,3866000
10/2/2020,156.970001,159.990005,156.160004,159.100006,158.445038,1978700
10/5/2020,159.990005,162.309998,159.990005,161.490005,160.825195,2268600
10/6/2020,161.470001,161.979996,157.610001,158.410004,157.757874,2932600
10/7/2020,160.059998,161.610001,159.610001,160.679993,160.018524,2927000
10/8/2020,162.600006,163.320007,161.389999,161.860001,161.193665,2189200
10/9/2020,162.199997,164.809998,162.100006,163.710007,163.036057,2582700
10/12/2020,164.300003,165.490005,163.619995,164.570007,163.892517,2436300
10/13/2020,164.570007,166.679993,164.149994,165.639999,164.958099,2015200
10/14/2020,165.979996,166.160004,162.600006,163.970001,163.294983,2286200
10/15/2020,161.839996,165.460007,161.119995,165.460007,164.778854,1859000
10/16/2020,165.910004,167.25,164.360001,164.919998,164.241074,5047900
10/19/2020,166.210007,166.960007,163.820007,164.050003,163.374649,2322500
10/20/2020,164.949997,167.419998,163.820007,164.869995,164.191269,2698500
10/21/2020,165.75,166.199997,162.949997,163.289993,162.617783,3033500
10/22/2020,163.070007,163.380005,159.339996,159.600006,158.942978,3647400
10/23/2020,160.389999,160.389999,158.809998,160.229996,159.570374,1816800
10/26/2020,158.839996,159.389999,156.300003,157.970001,157.319687,2310600
10/27/2020,158.070007,158.880005,156.679993,157.029999,156.383545,2406100
10/28/2020,154.910004,157.270004,154.110001,155.210007,154.571045,2655700
10/29/2020,155.240005,156.089996,153.369995,154.25,153.61499,2157700
10/30/2020,153.320007,154.139999,150.800003,152.220001,151.593353,3694100
11/2/2020,154,155.119995,152.800003,154.389999,153.754425,2674300
11/3/2020,156.320007,158.710007,155.429993,156.729996,156.084778,2545400
11/4/2020,157.220001,159.490005,155.25,156.619995,155.975235,3156600
11/5/2020,159.740005,159.869995,156.539993,158.630005,157.976974,3114900
11/6/2020,158.649994,161.899994,158.529999,161.5,160.835144,3498000
11/9/2020,163.149994,163.160004,154.75,154.910004,154.272278,5092800
11/10/2020,157.039993,159.059998,156.559998,158.070007,157.419281,3577900
11/11/2020,159.449997,162.570007,158.75,159.690002,159.032608,3336500
11/12/2020,159.669998,160.990005,158.639999,159.529999,158.87326,2708500
11/13/2020,160.990005,163.449997,160.600006,162.880005,162.209473,2765800
11/16/2020,165,165.990005,163.350006,165.179993,164.5,5035600
11/17/2020,164,164.710007,160.509995,163.039993,163.039993,6299900
11/18/2020,165.940002,172.119995,164.550003,166.850006,166.850006,13092300
